REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
BEL,TIME00,ADMRASTH,M,15-19Y,NUM,94
BEL,TIME00,ADMRASTH,M,20-24Y,NUM,104
BEL,TIME00,ADMRASTH,M,25-29Y,NUM,116
BEL,TIME00,ADMRASTH,M,30-34Y,NUM,146
BEL,TIME00,ADMRASTH,M,35-39Y,NUM,132
BEL,TIME00,ADMRASTH,M,40-44Y,NUM,139
BEL,TIME00,ADMRASTH,M,45-49Y,NUM,136
BEL,TIME00,ADMRASTH,M,50-54Y,NUM,144
BEL,TIME00,ADMRASTH,M,55-59Y,NUM,118
BEL,TIME00,ADMRASTH,M,60-64Y,NUM,121
BEL,TIME00,ADMRASTH,M,65-69Y,NUM,134
BEL,TIME00,ADMRASTH,M,70-74Y,NUM,134
BEL,TIME00,ADMRASTH,M,75-79Y,NUM,101
BEL,TIME00,ADMRASTH,M,80-84Y,NUM,46
BEL,TIME00,ADMRASTH,M,85Y_OVER,NUM,24
BEL,TIME00,ADMRASTH,F,15-19Y,NUM,139
BEL,TIME00,ADMRASTH,F,20-24Y,NUM,151
BEL,TIME00,ADMRASTH,F,25-29Y,NUM,182
BEL,TIME00,ADMRASTH,F,30-34Y,NUM,176
BEL,TIME00,ADMRASTH,F,35-39Y,NUM,235
BEL,TIME00,ADMRASTH,F,40-44Y,NUM,232
BEL,TIME00,ADMRASTH,F,45-49Y,NUM,235
BEL,TIME00,ADMRASTH,F,50-54Y,NUM,226
BEL,TIME00,ADMRASTH,F,55-59Y,NUM,178
BEL,TIME00,ADMRASTH,F,60-64Y,NUM,187
BEL,TIME00,ADMRASTH,F,65-69Y,NUM,258
BEL,TIME00,ADMRASTH,F,70-74Y,NUM,245
BEL,TIME00,ADMRASTH,F,75-79Y,NUM,246
BEL,TIME00,ADMRASTH,F,80-84Y,NUM,156
BEL,TIME00,ADMRASTH,F,85Y_OVER,NUM,105
BEL,TIME01,ADMRASTH,M,15-19Y,NUM,94
BEL,TIME01,ADMRASTH,M,20-24Y,NUM,98
BEL,TIME01,ADMRASTH,M,25-29Y,NUM,97
BEL,TIME01,ADMRASTH,M,30-34Y,NUM,111
BEL,TIME01,ADMRASTH,M,35-39Y,NUM,125
