REF-AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2017,MPIPRESP,M,Y16T24,CRUDE_RATE_CPAT,79.5,YY1TT2
AUS,2017,MPIPRESP,M,Y25T44,CRUDE_RATE_CPAT,80.4,YY2TT4
AUS,2017,MPIPRESP,M,Y45T64,CRUDE_RATE_CPAT,81.2,YY4TT6
AUS,2017,MPIPRESP,M,Y_GE65,CRUDE_RATE_CPAT,85.3,YY_TE6
AUS,2017,MPIPRESP,M,Total_16,CRUDE_RATE_CPAT,80.5,YToTal
AUS,2017,MPIPRESP,F,Y16T24,CRUDE_RATE_CPAT,80.6,YY1TT2
AUS,2017,MPIPRESP,F,Y25T44,CRUDE_RATE_CPAT,80.2,YY2TT4
AUS,2017,MPIPRESP,F,Y45T64,CRUDE_RATE_CPAT,80.5,YY4TT6
AUS,2017,MPIPRESP,F,Y_GE65,CRUDE_RATE_CPAT,89.3,YY_TE6
AUS,2017,MPIPRESP,F,Total_16,CRUDE_RATE_CPAT,80.8,YToTal
AUS,2017,MPIPRESP,T,Y16T24,CRUDE_RATE_CPAT,79.6,YY1TT2
AUS,2017,MPIPRESP,T,Y25T44,CRUDE_RATE_CPAT,80.2,YY2TT4
AUS,2017,MPIPRESP,T,Y45T64,CRUDE_RATE_CPAT,80.8,YY4TT6
AUS,2017,MPIPRESP,T,Y_GE65,CRUDE_RATE_CPAT,87.4,YY_TE6
AUS,2017,MPIPRESP,T,Total_16,CRUDE_RATE_CPAT,79.3,YToTal
AUS,2018,MPIPRESP,M,Y16T24,CRUDE_RATE_CPAT,82.5,YY1TT2
AUS,2018,MPIPRESP,M,Y25T44,CRUDE_RATE_CPAT,79.3,YY2TT4
AUS,2018,MPIPRESP,M,Y45T64,CRUDE_RATE_CPAT,84.4,YY4TT6
AUS,2018,MPIPRESP,M,Y_GE65,CRUDE_RATE_CPAT,86.2,YY_TE6
AUS,2018,MPIPRESP,M,Total_16,CRUDE_RATE_CPAT,81.5,YToTal
AUS,2018,MPIPRESP,F,Y16T24,CRUDE_RATE_CPAT,78.7,YY1TT2
AUS,2018,MPIPRESP,F,Y25T44,CRUDE_RATE_CPAT,79,YY2TT4
AUS,2018,MPIPRESP,F,Y45T64,CRUDE_RATE_CPAT,81.4,YY4TT6
AUS,2018,MPIPRESP,F,Y_GE65,CRUDE_RATE_CPAT,89.1,YY_TE6
AUS,2018,MPIPRESP,F,Total_16,CRUDE_RATE_CPAT,80.1,YToTal
AUS,2018,MPIPRESP,T,Y16T24,CRUDE_RATE_CPAT,80,YY1TT2
AUS,2018,MPIPRESP,T,Y25T44,CRUDE_RATE_CPAT,78.9,YY2TT4
AUS,2018,MPIPRESP,T,Y45T64,CRUDE_RATE_CPAT,82.8,YY4TT6
AUS,2018,MPIPRESP,T,Y_GE65,CRUDE_RATE_CPAT,87.7,YY_TE6
AUS,2018,MPIPRESP,T,Total_16,CRUDE_RATE_CPAT,79.1,YToTal
AUS,2019,MPIPRESP,M,Y16T24,CRUDE_RATE_CPAT,82,YY1TT2
AUS,2019,MPIPRESP,M,Y25T44,CRUDE_RATE_CPAT,81.7,YY2TT4
