REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
AUS,2010,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,11.69833
AUS,2010,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,14.49877
AUS,2010,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,13.12952
AUS,2012,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,16
AUS,2012,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,21.700001
AUS,2012,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,19
AUS,2013,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,15.4
AUS,2013,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,21.799999
AUS,2013,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,18.799999
AUS,2014,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,14.4
AUS,2014,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,19.200001
AUS,2014,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,16.9
AUS,2015,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,13.1
AUS,2015,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,18.700001
AUS,2015,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,16.1
AUS,2016,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,7.2615299
AUS,2016,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,10.48043
AUS,2016,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,8.8721704
AUS,2018,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,11.89
AUS,2018,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,16.43
AUS,2018,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,14.29
AUS,2019,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,12.44
AUS,2019,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,17.709999
AUS,2019,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,15.2
AUS,2020,COSKCOST,M,Income1,CRUDE_RATE_CPAT,11.79
AUS,2020,COSKCOST,M,Income2,CRUDE_RATE_CPAT,12.78
AUS,2020,COSKCOST,M,Income3,CRUDE_RATE_CPAT,11.71
AUS,2020,COSKCOST,M,Income4,CRUDE_RATE_CPAT,10.04
AUS,2020,COSKCOST,M,Income5,CRUDE_RATE_CPAT,5.84
AUS,2020,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,10.07
AUS,2020,COSKCOST,F,Income1,CRUDE_RATE_CPAT,14.67
AUS,2020,COSKCOST,F,Income2,CRUDE_RATE_CPAT,16.1
AUS,2020,COSKCOST,F,Income3,CRUDE_RATE_CPAT,16.96
AUS,2020,COSKCOST,F,Income4,CRUDE_RATE_CPAT,13.79
AUS,2020,COSKCOST,F,Income5,CRUDE_RATE_CPAT,10.14
AUS,2020,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,14.26
AUS,2020,COSKCOST,T,Income1,CRUDE_RATE_CPAT,13.3
AUS,2020,COSKCOST,T,Income2,CRUDE_RATE_CPAT,14.53
AUS,2020,COSKCOST,T,Income3,CRUDE_RATE_CPAT,14.21
AUS,2020,COSKCOST,T,Income4,CRUDE_RATE_CPAT,11.97
AUS,2020,COSKCOST,T,Income5,CRUDE_RATE_CPAT,7.89
AUS,2020,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,12.28
AUS,2021,COSKCOST,M,Income1,CRUDE_RATE_CPAT,14.43
AUS,2021,COSKCOST,M,Income2,CRUDE_RATE_CPAT,14.55
AUS,2021,COSKCOST,M,Income3,CRUDE_RATE_CPAT,15.12
AUS,2021,COSKCOST,M,Income4,CRUDE_RATE_CPAT,11.88
AUS,2021,COSKCOST,M,Income5,CRUDE_RATE_CPAT,8.49
AUS,2021,COSKCOST,M,Total_16,CRUDE_RATE_CPAT,12.57
AUS,2021,COSKCOST,F,Income1,CRUDE_RATE_CPAT,15.54
AUS,2021,COSKCOST,F,Income2,CRUDE_RATE_CPAT,16.19
AUS,2021,COSKCOST,F,Income3,CRUDE_RATE_CPAT,19.83
AUS,2021,COSKCOST,F,Income4,CRUDE_RATE_CPAT,17.06
AUS,2021,COSKCOST,F,Income5,CRUDE_RATE_CPAT,12.03
AUS,2021,COSKCOST,F,Total_16,CRUDE_RATE_CPAT,16.14
AUS,2021,COSKCOST,T,Income1,CRUDE_RATE_CPAT,15.15
AUS,2021,COSKCOST,T,Income2,CRUDE_RATE_CPAT,15.42
AUS,2021,COSKCOST,T,Income3,CRUDE_RATE_CPAT,17.74
AUS,2021,COSKCOST,T,Income4,CRUDE_RATE_CPAT,14.42
AUS,2021,COSKCOST,T,Income5,CRUDE_RATE_CPAT,10
AUS,2021,COSKCOST,T,Total_16,CRUDE_RATE_CPAT,14.42
AUS,2012,COSKCOST,M,Total_16,CRUDE_SE_PE,0.5
AUS,2012,COSKCOST,F,Total_16,CRUDE_SE_PE,0.5
AUS,2012,COSKCOST,T,Total_16,CRUDE_SE_PE,0.30000001
AUS,2013,COSKCOST,M,Total_16,CRUDE_SE_PE,0.40000001
AUS,2013,COSKCOST,F,Total_16,CRUDE_SE_PE,0.31
AUS,2013,COSKCOST,T,Total_16,CRUDE_SE_PE,0.25999999
AUS,2014,COSKCOST,M,Total_16,CRUDE_SE_PE,0.42106399
AUS,2014,COSKCOST,F,Total_16,CRUDE_SE_PE,0.44328901
AUS,2014,COSKCOST,T,Total_16,CRUDE_SE_PE,0.30117601
AUS,2015,COSKCOST,M,Total_16,CRUDE_SE_PE,0.35370001
AUS,2015,COSKCOST,F,Total_16,CRUDE_SE_PE,0.47048399
AUS,2015,COSKCOST,T,Total_16,CRUDE_SE_PE,0.30107
AUS,2018,COSKCOST,M,Total_16,CRUDE_SE_PE,0.41
AUS,2018,COSKCOST,F,Total_16,CRUDE_SE_PE,0.36000001
AUS,2018,COSKCOST,T,Total_16,CRUDE_SE_PE,0.28
AUS,2019,COSKCOST,M,Total_16,CRUDE_SE_PE,0.41
AUS,2019,COSKCOST,F,Total_16,CRUDE_SE_PE,0.37
AUS,2019,COSKCOST,T,Total_16,CRUDE_SE_PE,0.28999999
AUS,2020,COSKCOST,M,Income1,CRUDE_SE_PE,1.32
AUS,2020,COSKCOST,M,Income2,CRUDE_SE_PE,0.96
AUS,2020,COSKCOST,M,Income3,CRUDE_SE_PE,0.84
AUS,2020,COSKCOST,M,Income4,CRUDE_SE_PE,1.1
AUS,2020,COSKCOST,M,Income5,CRUDE_SE_PE,0.63
AUS,2020,COSKCOST,M,Total_16,CRUDE_SE_PE,0.43
AUS,2020,COSKCOST,F,Income1,CRUDE_SE_PE,1.01
AUS,2020,COSKCOST,F,Income2,CRUDE_SE_PE,1.04
AUS,2020,COSKCOST,F,Income3,CRUDE_SE_PE,1.28
AUS,2020,COSKCOST,F,Income4,CRUDE_SE_PE,0.9
AUS,2020,COSKCOST,F,Income5,CRUDE_SE_PE,0.76
AUS,2020,COSKCOST,F,Total_16,CRUDE_SE_PE,0.48
AUS,2020,COSKCOST,T,Income1,CRUDE_SE_PE,0.72
AUS,2020,COSKCOST,T,Income2,CRUDE_SE_PE,0.55
AUS,2020,COSKCOST,T,Income3,CRUDE_SE_PE,0.64
AUS,2020,COSKCOST,T,Income4,CRUDE_SE_PE,0.64
AUS,2020,COSKCOST,T,Income5,CRUDE_SE_PE,0.43
AUS,2020,COSKCOST,T,Total_16,CRUDE_SE_PE,0.31
AUS,2021,COSKCOST,M,Income1,CRUDE_SE_PE,1.05
AUS,2021,COSKCOST,M,Income2,CRUDE_SE_PE,1.37
AUS,2021,COSKCOST,M,Income3,CRUDE_SE_PE,1.31
AUS,2021,COSKCOST,M,Income4,CRUDE_SE_PE,0.8
AUS,2021,COSKCOST,M,Income5,CRUDE_SE_PE,0.88
AUS,2021,COSKCOST,M,Total_16,CRUDE_SE_PE,0.49
AUS,2021,COSKCOST,F,Income1,CRUDE_SE_PE,0.97
AUS,2021,COSKCOST,F,Income2,CRUDE_SE_PE,1.15
AUS,2021,COSKCOST,F,Income3,CRUDE_SE_PE,1.27
AUS,2021,COSKCOST,F,Income4,CRUDE_SE_PE,1.03
AUS,2021,COSKCOST,F,Income5,CRUDE_SE_PE,1.08
AUS,2021,COSKCOST,F,Total_16,CRUDE_SE_PE,0.56
AUS,2021,COSKCOST,T,Income1,CRUDE_SE_PE,0.65
AUS,2021,COSKCOST,T,Income2,CRUDE_SE_PE,0.91
AUS,2021,COSKCOST,T,Income3,CRUDE_SE_PE,0.82
AUS,2021,COSKCOST,T,Income4,CRUDE_SE_PE,0.48
AUS,2021,COSKCOST,T,Income5,CRUDE_SE_PE,0.7
AUS,2021,COSKCOST,T,Total_16,CRUDE_SE_PE,0.35
AUS,2010,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,12.52971
AUS,2010,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,15.1444
AUS,2010,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,13.86552
AUS,2012,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,4.1999998
AUS,2012,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,5.4000001
AUS,2012,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,4.9000001
AUS,2013,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,2.4000001
AUS,2013,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,3.8
AUS,2013,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,3.2
AUS,2014,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,2.4000001
AUS,2014,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,3.7
AUS,2014,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,3.0999999
AUS,2015,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,2.3
AUS,2015,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,4.5
AUS,2015,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,3.5999999
AUS,2016,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,6.0324502
AUS,2016,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,9.3041697
AUS,2016,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,7.6763701
AUS,2018,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,1.92
AUS,2018,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,3.8599999
AUS,2018,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,3.02
AUS,2019,MTSKCOST,M,Total_16,CRUDE_RATE_CPAT,2.53
AUS,2019,MTSKCOST,F,Total_16,CRUDE_RATE_CPAT,3.52
AUS,2019,MTSKCOST,T,Total_16,CRUDE_RATE_CPAT,3.0799999
AUS,2020,MTSKCOST,M,Income1,CRUDE_RATE_CPAT,2.17
AUS,2020,MTSKCOST,M,Income2,CRUDE_RATE_CPAT,2.01
AUS,2020,MTSKCOST,M,Income3,CRUDE_RATE_CPAT,1.97
