REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2005,PRDMPCDD,M,0-9Y,NUM,6,Y0T9
AUS,2005,PRDMPCDD,M,10-19Y,NUM,35,Y10T19
AUS,2005,PRDMPCDD,M,20-29Y,NUM,105,Y20T29
AUS,2005,PRDMPCDD,M,30-39Y,NUM,881,Y30T39
AUS,2005,PRDMPCDD,M,40-49Y,NUM,5216,Y40T49
AUS,2005,PRDMPCDD,M,50-59Y,NUM,18134,Y50T59
AUS,2005,PRDMPCDD,M,60-69Y,NUM,31922,Y60T69
AUS,2005,PRDMPCDD,M,70-79Y,NUM,27783,Y70T79
AUS,2005,PRDMPCDD,M,80Y_OVER,NUM,7154,Y_GE80
AUS,2005,PRDMPCDD,F,0-9Y,NUM,3,Y0T9
AUS,2005,PRDMPCDD,F,10-19Y,NUM,14,Y10T19
AUS,2005,PRDMPCDD,F,20-29Y,NUM,76,Y20T29
AUS,2005,PRDMPCDD,F,30-39Y,NUM,665,Y30T39
AUS,2005,PRDMPCDD,F,40-49Y,NUM,3931,Y40T49
AUS,2005,PRDMPCDD,F,50-59Y,NUM,13843,Y50T59
AUS,2005,PRDMPCDD,F,60-69Y,NUM,25614,Y60T69
AUS,2005,PRDMPCDD,F,70-79Y,NUM,25161,Y70T79
AUS,2005,PRDMPCDD,F,80Y_OVER,NUM,9667,Y_GE80
AUS,2006,PRDMPCDD,M,0-9Y,NUM,8,Y0T9
AUS,2006,PRDMPCDD,M,10-19Y,NUM,31,Y10T19
AUS,2006,PRDMPCDD,M,20-29Y,NUM,110,Y20T29
AUS,2006,PRDMPCDD,M,30-39Y,NUM,899,Y30T39
AUS,2006,PRDMPCDD,M,40-49Y,NUM,5365,Y40T49
AUS,2006,PRDMPCDD,M,50-59Y,NUM,18550,Y50T59
AUS,2006,PRDMPCDD,M,60-69Y,NUM,34951,Y60T69
AUS,2006,PRDMPCDD,M,70-79Y,NUM,30635,Y70T79
AUS,2006,PRDMPCDD,M,80Y_OVER,NUM,8558,Y_GE80
AUS,2006,PRDMPCDD,F,0-9Y,NUM,2,Y0T9
AUS,2006,PRDMPCDD,F,10-19Y,NUM,8,Y10T19
AUS,2006,PRDMPCDD,F,20-29Y,NUM,79,Y20T29
AUS,2006,PRDMPCDD,F,30-39Y,NUM,735,Y30T39
AUS,2006,PRDMPCDD,F,40-49Y,NUM,4168,Y40T49
AUS,2006,PRDMPCDD,F,50-59Y,NUM,14484,Y50T59
AUS,2006,PRDMPCDD,F,60-69Y,NUM,27298,Y60T69
AUS,2006,PRDMPCDD,F,70-79Y,NUM,27190,Y70T79
AUS,2006,PRDMPCDD,F,80Y_OVER,NUM,11069,Y_GE80
AUS,2007,PRDMPCDD,M,0-9Y,NUM,12,Y0T9
AUS,2007,PRDMPCDD,M,10-19Y,NUM,32,Y10T19
AUS,2007,PRDMPCDD,M,20-29Y,NUM,135,Y20T29
AUS,2007,PRDMPCDD,M,30-39Y,NUM,972,Y30T39
AUS,2007,PRDMPCDD,M,40-49Y,NUM,5679,Y40T49
AUS,2007,PRDMPCDD,M,50-59Y,NUM,19820,Y50T59
AUS,2007,PRDMPCDD,M,60-69Y,NUM,39557,Y60T69
AUS,2007,PRDMPCDD,M,70-79Y,NUM,35149,Y70T79
AUS,2007,PRDMPCDD,M,80Y_OVER,NUM,10459,Y_GE80
AUS,2007,PRDMPCDD,F,0-9Y,NUM,3,Y0T9
AUS,2007,PRDMPCDD,F,10-19Y,NUM,12,Y10T19
AUS,2007,PRDMPCDD,F,20-29Y,NUM,96,Y20T29
AUS,2007,PRDMPCDD,F,30-39Y,NUM,804,Y30T39
AUS,2007,PRDMPCDD,F,40-49Y,NUM,4434,Y40T49
AUS,2007,PRDMPCDD,F,50-59Y,NUM,15777,Y50T59
AUS,2007,PRDMPCDD,F,60-69Y,NUM,30576,Y60T69
AUS,2007,PRDMPCDD,F,70-79Y,NUM,30506,Y70T79
AUS,2007,PRDMPCDD,F,80Y_OVER,NUM,13030,Y_GE80
AUS,2008,PRDMPCDD,M,0-9Y,NUM,10,Y0T9
AUS,2008,PRDMPCDD,M,10-19Y,NUM,36,Y10T19
AUS,2008,PRDMPCDD,M,20-29Y,NUM,150,Y20T29
AUS,2008,PRDMPCDD,M,30-39Y,NUM,1087,Y30T39
AUS,2008,PRDMPCDD,M,40-49Y,NUM,5871,Y40T49
AUS,2008,PRDMPCDD,M,50-59Y,NUM,20169,Y50T59
AUS,2008,PRDMPCDD,M,60-69Y,NUM,43838,Y60T69
